actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612764,WAS,101162,Gortat,M. Gortat,0,0,0,,0,0,0,0,h,Jump Ball Gortat vs. Whiteside: Tip to Wall,Jump Ball,,1,0
3,2,PT11M44.00S,1,1610612748,MIA,202355,Whiteside,H. Whiteside,0,0,0,,0,0,0,0,v,Whiteside S.FOUL (P1.T1),Foul,Shooting,1,0
4,3,PT11M44.00S,1,1610612764,WAS,2403,Hilario,Nene,0,0,0,,0,1,0,1,h,Nene Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0
5,5,PT11M44.00S,1,1610612764,WAS,2403,Hilario,Nene,0,0,0,,0,2,0,2,h,Nene Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0
6,8,PT11M21.00S,1,1610612748,MIA,204020,Johnson,T. Johnson,-73,12,7,Made,1,2,2,4,v,Johnson 7' Driving Jump Shot (2 PTS),Made Shot,Driving Jump shot,1,0
7,9,PT11M08.00S,1,1610612764,WAS,1718,Pierce,P. Pierce,105,222,25,Missed,1,0,0,0,h,MISS Pierce 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
8,10,PT11M07.00S,1,1610612748,MIA,201609,Dragic,G. Dragic,0,0,0,,0,0,0,0,v,Dragic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,11,PT10M57.00S,1,1610612748,MIA,2617,Haslem,U. Haslem,170,105,20,Missed,1,0,0,0,v,MISS Haslem 20' Jump Shot,Missed Shot,Jump Shot,1,0
10,12,PT10M56.00S,1,1610612764,WAS,101162,Gortat,M. Gortat,0,0,0,,0,0,0,0,h,Gortat REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
11,13,PT10M51.00S,1,1610612748,MIA,2617,Haslem,U. Haslem,0,0,0,,0,0,0,0,v,Haslem P.FOUL (P1.T2),Foul,Personal,1,0
12,14,PT10M43.00S,1,1610612764,WAS,2403,Hilario,Nene,-46,4,5,Made,1,4,2,6,h,Nene 5' Turnaround Bank Hook Shot (4 PTS),Made Shot,Turnaround Bank Hook Shot,1,0
13,16,PT10M22.00S,1,1610612748,MIA,2617,Haslem,U. Haslem,7,146,15,Made,1,4,4,8,v,Haslem 15' Jump Shot (2 PTS),Made Shot,Jump Shot,1,0
14,17,PT10M13.00S,1,1610612764,WAS,1718,Pierce,P. Pierce,36,249,25,Made,1,7,4,11,h,Pierce 25' 3PT Jump Shot (3 PTS) (Wall 1 AST),Made Shot,Jump Shot,1,0
15,18,PT09M55.00S,1,1610612748,MIA,201609,Dragic,G. Dragic,-105,151,18,Missed,1,0,0,0,v,MISS Dragic 18' Jump Shot,Missed Shot,Jump Shot,1,0
16,19,PT09M54.00S,1,1610612764,WAS,101162,Gortat,M. Gortat,0,0,0,,0,0,0,0,h,Gortat REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
17,20,PT09M44.00S,1,1610612764,WAS,203078,Beal,B. Beal,-221,149,27,Made,1,10,4,14,h,Beal 27' 3PT Jump Shot (3 PTS) (Pierce 1 AST),Made Shot,Jump Shot,1,0
18,21,PT09M43.00S,1,0,,1610612748,,,0,0,0,,0,0,0,0,v,Heat Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
19,23,PT09M29.00S,1,1610612748,MIA,204020,Johnson,T. Johnson,0,0,0,,0,0,0,0,v,Johnson Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0
20,23,PT09M29.00S,1,1610612764,WAS,202322,Wall,J. Wall,0,0,0,,0,0,0,0,h,Wall STEAL (1 STL),,,1,0
21,24,PT09M26.00S,1,1610612748,MIA,201609,Dragic,G. Dragic,0,0,0,,0,0,0,0,v,Dragic S.FOUL (P1.T3),Foul,Shooting,1,0
22,25,PT09M26.00S,1,1610612764,WAS,202322,Wall,J. Wall,0,0,0,,0,11,4,15,h,Wall Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0
23,27,PT09M26.00S,1,1610612764,WAS,202322,Wall,J. Wall,0,0,0,,0,12,4,16,h,Wall Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0
24,29,PT09M10.00S,1,1610612748,MIA,201611,Walker,H. Walker,231,0,0,Missed,1,0,0,0,v,MISS Walker  3PT Jump Shot,Missed Shot,Jump Shot,1,0
25,30,PT09M09.00S,1,0,,1610612748,,,0,0,0,,0,0,0,0,v,Heat Rebound,Rebound,Unknown,0,0
26,31,PT09M09.00S,1,1610612764,WAS,2403,Hilario,Nene,0,0,0,,0,0,0,0,h,Nene L.B.FOUL (P1.T1),Foul,Loose Ball,1,0
27,32,PT08M53.00S,1,1610612748,MIA,201611,Walker,H. Walker,-142,14,14,Made,1,12,6,18,v,Walker 14' Jump Shot (2 PTS) (Dragic 1 AST),Made Shot,Jump Shot,1,0
28,33,PT08M42.00S,1,1610612764,WAS,101162,Gortat,M. Gortat,-62,41,7,Made,1,14,6,20,h,Gortat 7' Driving Hook Shot (2 PTS),Made Shot,Driving Hook Shot,1,0
29,34,PT08M31.00S,1,1610612748,MIA,201611,Walker,H. Walker,-209,145,25,Missed,1,0,0,0,v,MISS Walker 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
30,35,PT08M30.00S,1,1610612764,WAS,101162,Gortat,M. Gortat,0,0,0,,0,0,0,0,h,Gortat REBOUND (Off:0 Def:3),Rebound,Unknown,1,0
31,36,PT08M21.00S,1,1610612764,WAS,203078,Beal,B. Beal,170,205,27,Missed,1,0,0,0,h,MISS Beal 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
32,37,PT08M20.00S,1,1610612764,WAS,202322,Wall,J. Wall,0,0,0,,0,0,0,0,h,Wall REBOUND (Off:1 Def:0),Rebound,Unknown,1,0
33,38,PT08M15.00S,1,1610612764,WAS,1718,Pierce,P. Pierce,-204,184,27,Missed,1,0,0,0,h,MISS Pierce 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
34,39,PT08M14.00S,1,1610612748,MIA,2617,Haslem,U. Haslem,0,0,0,,0,0,0,0,v,Haslem REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
