SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,SEASON_YEAR
41996,1610612741,CHI,Chicago Bulls,0049600088,1997-06-13,CHI vs. UTA,W,1996-97
41996,1610612762,UTA,Utah Jazz,0049600088,1997-06-13,UTA @ CHI,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600087,1997-06-11,UTA vs. CHI,L,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600087,1997-06-11,CHI @ UTA,W,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600086,1997-06-08,CHI @ UTA,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600086,1997-06-08,UTA vs. CHI,W,1996-97
41996,1610612762,UTA,Utah Jazz,0049600085,1997-06-06,UTA vs. CHI,W,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600085,1997-06-06,CHI @ UTA,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600084,1997-06-04,UTA @ CHI,L,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600084,1997-06-04,CHI vs. UTA,W,1996-97
41996,1610612762,UTA,Utah Jazz,0049600083,1997-06-01,UTA @ CHI,L,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600083,1997-06-01,CHI vs. UTA,W,1996-97
41996,1610612745,HOU,Houston Rockets,0049600079,1997-05-29,HOU vs. UTA,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600079,1997-05-29,UTA @ HOU,W,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600078,1997-05-28,CHI vs. MIA,W,1996-97
41996,1610612748,MIA,Miami Heat,0049600078,1997-05-28,MIA @ CHI,L,1996-97
41996,1610612745,HOU,Houston Rockets,0049600077,1997-05-27,HOU @ UTA,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600077,1997-05-27,UTA vs. HOU,W,1996-97
41996,1610612748,MIA,Miami Heat,0049600076,1997-05-26,MIA vs. CHI,W,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600076,1997-05-26,CHI @ MIA,L,1996-97
41996,1610612745,HOU,Houston Rockets,0049600075,1997-05-25,HOU vs. UTA,W,1996-97
41996,1610612762,UTA,Utah Jazz,0049600075,1997-05-25,UTA @ HOU,L,1996-97
41996,1610612748,MIA,Miami Heat,0049600074,1997-05-24,MIA vs. CHI,L,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600074,1997-05-24,CHI @ MIA,W,1996-97
41996,1610612745,HOU,Houston Rockets,0049600073,1997-05-23,HOU vs. UTA,W,1996-97
41996,1610612762,UTA,Utah Jazz,0049600073,1997-05-23,UTA @ HOU,L,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600072,1997-05-22,CHI vs. MIA,W,1996-97
41996,1610612748,MIA,Miami Heat,0049600072,1997-05-22,MIA @ CHI,L,1996-97
41996,1610612745,HOU,Houston Rockets,0049600071,1997-05-21,HOU @ UTA,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600071,1997-05-21,UTA vs. HOU,W,1996-97
41996,1610612741,CHI,Chicago Bulls,0049600070,1997-05-20,CHI vs. MIA,W,1996-97
41996,1610612748,MIA,Miami Heat,0049600070,1997-05-20,MIA @ CHI,L,1996-97
41996,1610612762,UTA,Utah Jazz,0049600069,1997-05-19,UTA vs. HOU,W,1996-97
41996,1610612745,HOU,Houston Rockets,0049600069,1997-05-19,HOU @ UTA,L,1996-97
41996,1610612752,NYK,New York Knicks,0049600068,1997-05-18,NYK @ MIA,L,1996-97
41996,1610612748,MIA,Miami Heat,0049600068,1997-05-18,MIA vs. NYK,W,1996-97
41996,1610612745,HOU,Houston Rockets,0049600066,1997-05-17,HOU vs. SEA,W,1996-97
41996,1610612760,SEA,Seattle SuperSonics,0049600066,1997-05-17,SEA @ HOU,L,1996-97
41996,1610612752,NYK,New York Knicks,0049600064,1997-05-16,NYK vs. MIA,L,1996-97
41996,1610612748,MIA,Miami Heat,0049600064,1997-05-16,MIA @ NYK,W,1996-97
41996,1610612760,SEA,Seattle SuperSonics,0049600063,1997-05-15,SEA vs. HOU,W,1996-97
