SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1630702,Jaden Hardy,Jaden,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,9.0,0.286,0.333,0.214,1.0,0.25,0.0,0.0,0.0,0.167,0.111,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.333,1,1,1,1,1725,252,200,746,1,619,1080,1149,1085,1017,1427,1547,1903,991,678,1,734,1437,204,1,8:34
2024-25,1629023,P.J. Washington,P.J.,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,28.0,0.072,0.103,0.077,0.143,0.111,0.0,0.0,0.143,0.12,0.125,0.105,0.1,0.2,0.0,0.0,0.111,0.0,0.097,1,1,1,1,680,1885,1457,1813,930,1371,1080,1149,896,1323,1337,1246,873,736,678,1,662,1437,1541,1,28:26
2024-25,1630560,Cam Thomas,Cam,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,31.0,0.328,0.286,0.347,0.167,0.318,0.308,0.25,0.0,0.125,0.105,0.143,0.273,0.0,0.0,0.75,0.0,0.333,0.279,1,1040,1040,1040,502,113,392,119,846,370,464,578,1085,1274,1474,1029,1536,991,678,1971,1,302,411,1,31:08
2024-25,1641710,Anthony Black,Anthony,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,21.0,0.145,0.1,0.05,0.0,0.0,0.0,0.0,0.286,0.167,0.211,0.333,0.667,0.0,0.0,0.0,0.2,0.1,0.074,1,1040,1040,1040,1135,1335,1461,1889,1135,1613,1080,1149,555,1017,814,325,2014,991,678,1,1089,1247,1636,1,20:43
2024-25,1629750,Javonte Green,Javonte,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,24.0,0.037,0.059,0.053,0.0,0.067,0.167,0.125,0.0,0.2,0.143,0.1,0.0,0.333,0.0,0.0,0.182,0.111,0.067,1,1040,1040,1040,986,1956,1665,1883,1135,1540,793,985,1085,837,1218,1259,1,352,678,1,1028,1185,1659,1,23:31
2024-25,1631111,Wendell Moore Jr.,Wendell,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,2068,1967,1738,1925,1135,1613,1080,1149,1085,1719,1818,1547,1,991,678,1,1,1437,1787,1,0:55
2024-25,1631223,David Roddy,David,1610612737,ATL,Atlanta Hawks,0022400152,2024-11-03T00:00:00,ATL @ NOP,W,26.0,0.068,0.12,0.067,0.25,0.1,0.0,0.0,0.167,0.154,0.158,0.273,0.111,0.0,0.0,0.0,0.091,0.0,0.123,1,1,1,1,842,1905,1364,1849,567,1414,1080,1149,818,1116,1138,507,906,991,678,1,582,1437,1374,1,25:51
2024-25,1630700,Dyson Daniels,Dyson,1610612737,ATL,Atlanta Hawks,0022400152,2024-11-03T00:00:00,ATL @ NOP,W,25.0,0.203,0.259,0.204,0.333,0.313,0.0,0.0,0.333,0.158,0.2,0.176,0.25,0.333,0.0,0.0,0.375,0.0,0.25,1,1,1,1,906,738,525,847,362,391,1080,1149,415,1103,843,889,1404,352,678,1,1775,1437,533,1,24:49
2024-25,1630533,Ziaire Williams,Ziaire,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,16.0,0.172,0.222,0.25,0.0,0.429,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.154,1,1040,1040,1040,1423,1051,703,466,1135,110,1080,1149,1085,292,302,1547,1,991,678,1,1570,1437,1152,1,16:00
2024-25,1641998,Trey Jemison,Trey,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,4.0,0.222,0.0,0.286,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1040,1040,1040,1918,583,1738,303,1135,1613,1080,1149,168,51,51,1547,1,991,678,1,1,1437,1787,1,3:33
