PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1631260,AJ Green,AJ,1610612749,MIL,25.0,23,13,10,0.565,21.2,2.7,5.7,0.477,2.4,5.1,0.475,0.2,0.3,0.833,0.2,2.0,2.2,1.0,0.7,0.5,0.1,0.0,2.0,0.5,8.0,2.6,13.3,0,0,14.8,85,77,149,188,217,243,254,187,47,102,36,412,430,144,421,271,323,334,321,297,395,414,181,373,227,119,293,148,21,260
1642358,AJ Johnson,AJ,1610612749,MIL,20.0,5,3,2,0.6,2.1,0.6,1.2,0.5,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.4,0.0,0.0,0.2,0.0,0.0,1.4,2.0,1.8,0,0,2.2,425,371,416,152,493,437,455,130,373,445,1,441,446,441,455,468,479,449,395,442,419,321,474,465,446,137,481,148,21,472
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,11,6,5,0.545,29.7,4.9,9.3,0.529,1.5,3.1,0.471,3.0,3.8,0.786,1.9,4.1,6.0,3.5,1.5,0.5,0.3,0.6,1.5,3.2,14.3,6.8,27.7,2,0,26.9,340,272,320,206,105,114,136,105,149,211,40,60,59,210,57,95,78,88,129,283,266,122,254,60,101,24,106,69,21,105
1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,14,9,5,0.643,9.5,1.4,2.9,0.488,1.1,2.3,0.469,0.5,0.6,0.778,0.0,1.0,1.0,1.3,0.4,0.1,0.1,0.0,0.4,0.6,4.4,3.1,7.6,0,0,8.1,297,198,320,124,380,358,375,166,206,260,41,324,350,220,455,382,413,281,409,439,402,414,435,346,343,102,378,148,21,368
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,6,2,4,0.333,22.7,3.2,6.0,0.528,1.0,1.8,0.545,1.8,2.2,0.846,0.7,3.3,4.0,1.0,0.8,0.7,0.3,0.5,4.0,2.0,9.2,-1.5,17.6,0,0,17.2,412,407,350,354,204,207,237,107,209,297,16,127,149,125,240,141,162,318,265,236,212,169,2,135,195,327,233,148,21,225
1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,24,19,5,0.792,20.4,3.6,8.0,0.451,1.5,3.7,0.393,0.5,0.6,0.8,1.0,2.5,3.5,1.5,0.9,0.9,0.3,0.7,1.3,0.7,9.2,5.8,18.5,0,0,18.2,37,7,320,60,231,180,168,238,148,165,123,324,352,180,154,217,202,238,260,144,257,107,316,339,193,39,220,148,21,212
1641745,Adam Flagler,Adam,1610612760,OKC,25.0,11,10,1,0.909,3.6,0.5,1.8,0.25,0.5,1.7,0.263,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.0,0.2,0.0,0.0,0.4,0.0,1.4,0.9,2.6,0,0,2.7,340,162,447,25,470,459,423,467,317,303,343,441,446,441,416,471,467,466,469,414,419,414,448,465,448,186,465,148,21,463
1641766,Adama Sanogo,Adama,1610612741,CHI,22.0,3,1,2,0.333,4.6,1.0,1.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.3,0.3,0.0,0.0,0.3,0.3,0.3,2.0,-2.3,3.0,0,0,3.0,452,441,416,354,453,388,431,47,409,461,409,441,446,441,240,483,460,429,413,442,419,251,452,411,421,375,460,148,21,450
1641737,Adem Bona,Adem,1610612755,PHI,21.0,14,2,12,0.143,6.5,0.6,0.9,0.615,0.0,0.0,0.0,0.4,0.4,0.833,0.6,1.1,1.7,0.0,0.4,0.0,0.4,0.2,1.1,0.4,1.5,0.9,4.4,0,0,4.1,297,407,88,454,427,439,475,38,409,461,409,370,391,144,286,377,368,466,386,442,174,313,349,408,439,185,433,148,21,433
1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,24,19,5,0.792,16.0,2.3,4.8,0.478,0.5,1.3,0.419,0.5,0.6,0.8,0.4,1.1,1.5,1.7,0.8,0.9,0.1,0.4,1.8,1.4,5.6,3.2,12.1,0,0,11.3,37,7,320,60,303,277,288,184,302,331,86,324,352,180,345,379,381,217,280,159,398,237,213,204,296,101,312,148,21,319
