,PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
0,76001,Abdelnaby,Alaa,alaa-abdelnaby,1610612757,blazers,False,Portland,Trail Blazers,POR,30.0,F,82.0,240.0,Duke,USA,1990.0,1.0,25.0,,5.7,3.3,0.3,Career,1990,1994
1,76002,Abdul-Aziz,Zaid,zaid-abdul-aziz,1610612745,rockets,False,Houston,Rockets,HOU,54.0,C,81.0,235.0,Iowa State,USA,1968.0,1.0,5.0,,9.0,8.0,1.2,Career,1968,1977
2,76003,Abdul-Jabbar,Kareem,kareem-abdul-jabbar,1610612747,lakers,False,Los Angeles,Lakers,LAL,33.0,C,86.0,225.0,UCLA,USA,1969.0,1.0,1.0,,24.6,11.2,3.6,Career,1969,1988
3,51,Abdul-Rauf,Mahmoud,mahmoud-abdul-rauf,1610612743,nuggets,False,Denver,Nuggets,DEN,1.0,G,73.0,162.0,Louisiana State,USA,1990.0,1.0,3.0,,14.6,1.9,3.5,Career,1990,2000
4,1505,Abdul-Wahad,Tariq,tariq-abdul-wahad,1610612758,kings,False,Sacramento,Kings,SAC,9.0,F-G,78.0,235.0,San Jose State,France,1997.0,1.0,11.0,,7.8,3.3,1.1,Career,1997,2003
5,949,Abdur-Rahim,Shareef,shareef-abdur-rahim,1610612763,grizzlies,False,Memphis,Grizzlies,MEM,3.0,F,81.0,245.0,California,USA,1996.0,1.0,3.0,,18.1,7.5,2.5,Career,1996,2007
6,76005,Abernethy,Tom,tom-abernethy,1610612744,warriors,False,Golden State,Warriors,GSW,5.0,F,79.0,220.0,Indiana,USA,1976.0,3.0,43.0,,5.6,3.2,1.2,Career,1976,1980
7,76006,Able,Forest,forest-able,1610612755,sixers,False,Philadelphia,76ers,PHI,6.0,G,75.0,180.0,Western Kentucky,USA,1956.0,,,,0.0,1.0,1.0,Career,1956,1956
8,76007,Abramovic,John,john-abramovic,1610610031,,True,Pittsburgh,Ironmen,PIT,,F,75.0,195.0,Salem,USA,,,,,9.5,,0.7,Career,1946,1947
9,203518,Abrines,Alex,alex-abrines,1610612760,thunder,False,Oklahoma City,Thunder,OKC,8.0,G,78.0,190.0,FC Barcelona,Spain,2013.0,2.0,32.0,,5.3,1.4,0.5,Career,2016,2018
10,1630173,Achiuwa,Precious,precious-achiuwa,1610612752,knicks,False,New York,Knicks,NYK,5.0,F,80.0,243.0,Memphis,Nigeria,2020.0,1.0,20.0,True,7.8,5.7,1.0,Career,2020,2024
11,101165,Acker,Alex,alex-acker,1610612746,clippers,False,LA,Clippers,LAC,3.0,G,77.0,185.0,Pepperdine,USA,2005.0,2.0,60.0,,2.7,1.0,0.5,Career,2005,2008
12,76008,Ackerman,Donald,donald-ackerman,1610612752,knicks,False,New York,Knicks,NYK,,G,72.0,183.0,Long Island-Brooklyn,USA,1953.0,2.0,,,1.5,0.5,0.8,Career,1953,1953
13,76009,Acres,Mark,mark-acres,1610612753,magic,False,Orlando,Magic,ORL,42.0,C,83.0,220.0,Oral Roberts,USA,1985.0,2.0,40.0,,3.6,4.1,0.5,Career,1987,1992
14,76010,Acton,Charles,charles-acton,1610612745,rockets,False,Houston,Rockets,HOU,24.0,F,78.0,210.0,Hillsdale,USA,,,,,3.3,2.0,0.5,Career,1967,1967
15,203112,Acy,Quincy,quincy-acy,1610612758,kings,False,Sacramento,Kings,SAC,13.0,F,79.0,240.0,Baylor,USA,2012.0,2.0,37.0,,4.9,3.5,0.6,Career,2012,2018
16,76011,Adams,Alvan,alvan-adams,1610612756,suns,False,Phoenix,Suns,PHX,33.0,C,81.0,210.0,Oklahoma,USA,1975.0,1.0,4.0,,14.1,7.0,4.1,Career,1975,1987
17,76012,Adams,Don,don-adams,1610612765,pistons,False,Detroit,Pistons,DET,10.0,F,79.0,210.0,Northwestern,USA,1970.0,8.0,120.0,,8.7,5.6,1.8,Career,1970,1976
18,200801,Adams,Hassan,hassan-adams,1610612751,nets,False,Brooklyn,Nets,BKN,8.0,F,76.0,220.0,Arizona,USA,2006.0,2.0,54.0,,2.5,1.2,0.2,Career,2006,2008
