SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2024-25,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,48.0,0.514,0.437,0.151,0.136,0.552,0.338,0.223,0.395,0,0,0,0,15,119,14,103,183,117,144,6,171,1
2024-25,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,48.0,0.552,0.338,0.223,0.395,0.514,0.437,0.151,0.136,0,0,0,0,15,70,42,181,16,68,173,83,3,1
2024-25,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,48.0,0.522,0.222,0.184,0.385,0.653,0.136,0.163,0.333,0,0,0,0,15,110,133,156,26,183,15,65,133,1
2024-25,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,48.0,0.553,0.271,0.188,0.283,0.376,0.204,0.149,0.302,0,0,0,0,15,67,93,161,108,2,43,87,96,1
2024-25,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,48.0,0.376,0.204,0.149,0.302,0.553,0.271,0.188,0.283,0,0,0,0,15,185,144,97,90,120,94,26,79,1
2024-25,1610612737,ATL,Atlanta Hawks,0022400152,2024-11-03T00:00:00,ATL @ NOP,W,48.0,0.653,0.136,0.163,0.333,0.522,0.222,0.184,0.385,0,0,0,0,15,4,172,120,53,76,52,30,160,1
2024-25,1610612746,LAC,LA Clippers,0022400150,2024-11-02T00:00:00,LAC vs. OKC,L,48.0,0.475,0.329,0.22,0.264,0.524,0.226,0.12,0.12,0,0,0,0,15,156,49,176,125,82,59,142,1,1
2024-25,1610612749,MIL,Milwaukee Bucks,0022400145,2024-11-02T00:00:00,MIL vs. CLE,L,48.0,0.584,0.169,0.135,0.275,0.566,0.165,0.073,0.229,0,0,0,0,15,38,162,71,113,132,24,183,41,1
2024-25,1610612763,MEM,Memphis Grizzlies,0022400142,2024-11-02T00:00:00,MEM @ PHI,W,48.0,0.621,0.241,0.17,0.39,0.511,0.225,0.141,0.25,0,0,0,0,15,17,109,134,21,63,56,100,51,1
2024-25,1610612766,CHA,Charlotte Hornets,0022400141,2024-11-02T00:00:00,CHA vs. BOS,L,48.0,0.533,0.099,0.134,0.25,0.537,0.341,0.155,0.319,0,0,0,0,15,96,181,68,134,95,147,78,119,1
2024-25,1610612738,BOS,Boston Celtics,0022400141,2024-11-02T00:00:00,BOS @ CHA,W,48.0,0.537,0.341,0.155,0.319,0.533,0.099,0.134,0.25,0,0,0,0,15,92,39,108,67,90,6,119,51,1
2024-25,1610612761,TOR,Toronto Raptors,0022400143,2024-11-02T00:00:00,TOR vs. SAC,W,53.0,0.574,0.326,0.164,0.288,0.51,0.32,0.155,0.316,0,0,0,0,1,47,50,124,103,60,129,77,115,1
2024-25,1610612756,PHX,Phoenix Suns,0022400149,2024-11-02T00:00:00,PHX vs. POR,W,48.0,0.468,0.237,0.136,0.279,0.396,0.099,0.059,0.253,0,0,0,0,15,164,114,73,111,4,8,184,54,1
2024-25,1610612745,HOU,Houston Rockets,0022400144,2024-11-02T00:00:00,HOU vs. GSW,L,53.0,0.481,0.224,0.103,0.364,0.609,0.641,0.131,0.255,0,0,0,0,1,153,132,26,39,165,185,126,56,1
2024-25,1610612759,SAS,San Antonio Spurs,0022400146,2024-11-02T00:00:00,SAS vs. MIN,W,48.0,0.596,0.205,0.135,0.262,0.543,0.244,0.137,0.188,0,0,0,0,15,31,143,71,127,102,80,110,13,1
2024-25,1610612762,UTA,Utah Jazz,0022400148,2024-11-02T00:00:00,UTA @ DEN,L,48.0,0.5,0.403,0.226,0.208,0.566,0.232,0.17,0.418,0,0,0,0,15,132,21,183,160,131,68,54,180,1
2024-25,1610612744,GSW,Golden State Warriors,0022400144,2024-11-02T00:00:00,GSW @ HOU,W,53.0,0.609,0.641,0.131,0.255,0.481,0.224,0.103,0.364,0,0,0,0,1,22,2,61,131,34,55,161,148,1
2024-25,1610612764,WAS,Washington Wizards,0022400147,2024-11-02T00:00:00,WAS @ MIA,L,48.0,0.456,0.231,0.117,0.193,0.495,0.235,0.136,0.391,0,0,0,0,15,172,121,40,168,49,70,112,167,1
2024-25,1610612758,SAC,Sacramento Kings,0022400143,2024-11-02T00:00:00,SAC @ TOR,L,53.0,0.51,0.32,0.155,0.316,0.574,0.326,0.164,0.288,0,0,0,0,1,127,58,110,72,140,137,63,83,1
2024-25,1610612748,MIA,Miami Heat,0022400147,2024-11-02T00:00:00,MIA @ WAS,W,48.0,0.495,0.235,0.136,0.391,0.456,0.231,0.117,0.193,0,0,0,0,15,138,116,73,19,15,65,147,19,1
2024-25,1610612755,PHI,Philadelphia 76ers,0022400142,2024-11-02T00:00:00,PHI vs. MEM,L,48.0,0.511,0.225,0.141,0.25,0.621,0.241,0.17,0.39,0,0,0,0,15,123,131,85,134,170,77,52,166,1
2024-25,1610612757,POR,Portland Trail Blazers,0022400149,2024-11-02T00:00:00,POR @ PHX,L,48.0,0.396,0.099,0.059,0.253,0.468,0.237,0.136,0.279,0,0,0,0,15,183,179,3,133,22,73,112,76,1
2024-25,1610612739,CLE,Cleveland Cavaliers,0022400145,2024-11-02T00:00:00,CLE @ MIL,W,48.0,0.566,0.165,0.073,0.229,0.584,0.169,0.135,0.275,0,0,0,0,15,52,163,4,146,148,25,115,73,1
2024-25,1610612750,MIN,Minnesota Timberwolves,0022400146,2024-11-02T00:00:00,MIN @ SAS,L,48.0,0.543,0.244,0.137,0.188,0.596,0.205,0.135,0.262,0,0,0,0,15,85,106,76,174,156,44,115,60,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0022400150,2024-11-02T00:00:00,OKC @ LAC,W,48.0,0.524,0.226,0.12,0.12,0.475,0.329,0.22,0.264,0,0,0,0,15,105,128,45,186,31,138,9,61,1
2024-25,1610612743,DEN,Denver Nuggets,0022400148,2024-11-02T00:00:00,DEN vs. UTA,W,48.0,0.566,0.232,0.17,0.418,0.5,0.403,0.226,0.208,0,0,0,0,15,56,119,133,7,51,166,4,27,1
2024-25,1610612743,DEN,Denver Nuggets,0022400139,2024-11-01T00:00:00,DEN @ MIN,L,48.0,0.505,0.315,0.149,0.4,0.627,0.217,0.17,0.244,0,0,0,0,15,130,63,97,9,176,49,52,47,1
2024-25,1610612740,NOP,New Orleans Pelicans,0022400138,2024-11-01T00:00:00,NOP vs. IND,W,48.0,0.545,0.188,0.082,0.37,0.607,0.146,0.143,0.273,0,0,0,0,15,80,157,6,34,164,19,95,70,1
2024-25,1610612747,LAL,Los Angeles Lakers,0022400137,2024-11-01T00:00:00,LAL @ TOR,W,48.0,0.54,0.466,0.097,0.313,0.533,0.121,0.107,0.375,0,0,0,0,15,87,9,17,78,89,11,157,155,1
2024-25,1610612754,IND,Indiana Pacers,0022400138,2024-11-01T00:00:00,IND @ NOP,L,48.0,0.607,0.146,0.143,0.273,0.545,0.188,0.082,0.37,0,0,0,0,15,23,168,89,115,107,30,181,152,1
2024-25,1610612751,BKN,Brooklyn Nets,0022400136,2024-11-01T00:00:00,BKN vs. CHI,W,48.0,0.58,0.138,0.109,0.217,0.528,0.273,0.155,0.302,0,0,0,0,15,42,171,32,155,85,95,75,98,1
