SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2024-25,1610612749,MIL,Milwaukee Bucks,0022401201,2024-12-10T00:00:00,MIL vs. ORL,W,48.0,12.0,11.0,14.0,50.0,20.0,14.0,8.0,52.0,0,0,0,0,39,580,468,381,289,450,369,83,435,1
2024-25,1610612760,OKC,Oklahoma City Thunder,0022401203,2024-12-10T00:00:00,OKC vs. DAL,W,48.0,36.0,12.0,8.0,38.0,17.0,11.0,11.0,42.0,0,0,0,0,39,4,407,607,587,315,207,191,183,1
2024-25,1610612753,ORL,Orlando Magic,0022401201,2024-12-10T00:00:00,ORL @ MIL,L,48.0,20.0,14.0,8.0,52.0,12.0,11.0,14.0,50.0,0,0,0,0,39,224,312,607,240,104,207,301,376,1
2024-25,1610612742,DAL,Dallas Mavericks,0022401203,2024-12-10T00:00:00,DAL @ OKC,L,48.0,17.0,11.0,11.0,42.0,36.0,12.0,8.0,38.0,0,0,0,0,39,367,468,504,495,718,256,83,98,1
2024-25,1610612752,NYK,New York Knicks,0022400359,2024-12-09T00:00:00,NYK @ TOR,W,48.0,15.0,11.0,16.0,50.0,12.0,16.0,20.0,56.0,0,0,0,0,39,456,468,291,289,104,461,535,529,1
2024-25,1610612761,TOR,Toronto Raptors,0022400359,2024-12-09T00:00:00,TOR vs. NYK,L,48.0,12.0,16.0,20.0,56.0,15.0,11.0,16.0,50.0,0,0,0,0,39,580,221,160,152,225,207,385,376,1
2024-25,1610612758,SAC,Sacramento Kings,0022400357,2024-12-08T00:00:00,SAC vs. UTA,W,48.0,22.0,14.0,19.0,44.0,11.0,18.0,7.0,32.0,0,0,0,0,39,164,312,189,444,77,537,55,36,1
2024-25,1610612740,NOP,New Orleans Pelicans,0022400354,2024-12-08T00:00:00,NOP @ SAS,L,48.0,20.0,10.0,20.0,46.0,15.0,22.0,17.0,60.0,0,0,0,0,39,224,517,160,398,225,660,433,604,1
2024-25,1610612753,ORL,Orlando Magic,0022400352,2024-12-08T00:00:00,ORL vs. PHX,W,48.0,23.0,20.0,15.0,48.0,22.0,9.0,19.0,38.0,0,0,0,0,39,138,86,339,348,537,130,505,98,1
2024-25,1610612739,CLE,Cleveland Cavaliers,0022400351,2024-12-08T00:00:00,CLE @ MIA,L,48.0,13.0,10.0,12.0,50.0,15.0,19.0,10.0,50.0,0,0,0,0,39,542,517,461,289,225,577,146,376,1
